system   D            wsystem.c:583  maybe_parent_dir                 [   0.00040] Also searching D:\Dhr. Max Oomen\Documents\GitHub\platformer_1\
display  D   display_settings.c:191  debug_display_settings           [   0.02937] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02939] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02940] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02941] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02942] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02944] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02945] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02946] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02948] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02949] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02950] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02952] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02953] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02954] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02956] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02958] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02959] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02960] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02962] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02963] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02964] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02966] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02967] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02969] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02970] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02971] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02972] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02974] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02975] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02977] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02978] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02979] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02980] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02982] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02983] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02984] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02986] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02987] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02988] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02990] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02991] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02992] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02994] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02995] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02996] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02998] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02999] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.03000] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03002] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.03003] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03004] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.03006] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03007] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.03008] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03010] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.03011] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03012] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.03014] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03015] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03017] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03018] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03019] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03020] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.03022] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03023] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.03025] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03026] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.03027] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03028] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.03030] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03031] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.03032] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03034] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.03035] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03036] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.03038] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1640 d3d_create_display_internals     [   0.03045] Trying format 0.
d3d      I         d3d_disp.cpp:1325 d3d_display_thread_proc          [   0.03109] Chose a display format: 23
d3d      I         d3d_disp.cpp:1394 d3d_display_thread_proc          [   0.03112] Normal window.
d3d      I         d3d_disp.cpp:800  d3d_create_device                [   0.04211] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:865  d3d_create_device                [   0.07493] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:873  d3d_create_device                [   0.07496] Success
d3d      D         d3d_disp.cpp:1663 d3d_create_display_internals     [   0.07499] Resumed after wait.
d3d      I         d3d_disp.cpp:1696 d3d_create_display_internals     [   0.07509] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1719 d3d_create_display_internals     [   0.07512] Returning d3d_display: 00B858B0
d3d      D         d3d_disp.cpp:1744 d3d_create_display_locked        [   0.07513] al_display=00B858B0
d3d      D         d3d_disp.cpp:1745 d3d_create_display_locked        [   0.07514] al_display->vt=00B857E8
font     D                ttf.c:786  al_load_ttf_font_stretch_f       [   0.07638] Font fonts/nokiafc22.ttf loaded with pixel size 0 x 18.
font     D                ttf.c:788  al_load_ttf_font_stretch_f       [   0.07640]     ascent=18.0, descent=-4.0, height=25.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.07643] added dtor for object 027BED98, func 0F921B63
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08115] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08117] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08118] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08120] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08121] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08122] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08123] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08124] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08125] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.08126] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.08127] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.08128] Found a format
d3d      I         d3d_disp.cpp:2289 _al_d3d_create_bitmap            [   0.08129] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.08233] added dtor for object 027C0588, func 0F92259F
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.08309] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.08311] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08693] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08695] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08696] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08697] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08698] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08699] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08700] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08701] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08702] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.08703] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.08704] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.08705] Found a format
d3d      I         d3d_disp.cpp:2289 _al_d3d_create_bitmap            [   0.08707] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.08743] added dtor for object 027CEAE8, func 0F92259F
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.08759] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.08761] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08879] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08881] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08882] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08883] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08884] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08885] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08886] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08887] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.08888] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.08889] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.08890] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.08891] Found a format
d3d      I         d3d_disp.cpp:2289 _al_d3d_create_bitmap            [   0.08893] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.08916] added dtor for object 027CFCE0, func 0F92259F
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.08928] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.08930] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09005] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09006] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09007] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09008] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09009] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09010] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09011] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09012] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09013] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.09014] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.09015] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.09017] Found a format
d3d      I         d3d_disp.cpp:2289 _al_d3d_create_bitmap            [   0.09018] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09044] added dtor for object 027D0E80, func 0F92259F
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.09057] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.09059] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09126] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09128] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09129] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09130] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09131] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09132] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09133] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09134] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09136] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.09137] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.09138] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.09139] Found a format
d3d      I         d3d_disp.cpp:2289 _al_d3d_create_bitmap            [   0.09140] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09166] added dtor for object 027D2050, func 0F92259F
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.09184] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.09186] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09247] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09248] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09249] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09250] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09252] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09253] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09254] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09255] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09256] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.09257] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.09258] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.09259] Found a format
d3d      I         d3d_disp.cpp:2289 _al_d3d_create_bitmap            [   0.09260] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09282] added dtor for object 027D31A0, func 0F92259F
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.09294] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.09295] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09360] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09361] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09363] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09364] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09365] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09366] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09367] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09368] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09369] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.09370] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.09371] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.09372] Found a format
d3d      I         d3d_disp.cpp:2289 _al_d3d_create_bitmap            [   0.09373] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09423] added dtor for object 027D42F0, func 0F92259F
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.09441] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.09444] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09534] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09536] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09537] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09538] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09539] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09540] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09541] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09542] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09543] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.09544] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.09545] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.09546] Found a format
d3d      I         d3d_disp.cpp:2289 _al_d3d_create_bitmap            [   0.09547] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09580] added dtor for object 027D5F60, func 0F92259F
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.09633] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.09635] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09873] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09875] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09876] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09877] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09878] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09879] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09880] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09881] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.09882] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.09883] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.09884] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.09886] Found a format
d3d      I         d3d_disp.cpp:2289 _al_d3d_create_bitmap            [   0.09887] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09918] added dtor for object 027E6170, func 0F92259F
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.09933] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.09934] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10006] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10008] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10009] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10010] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10012] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10013] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10014] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10015] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10016] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.10017] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.10018] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.10020] Found a format
d3d      I         d3d_disp.cpp:2289 _al_d3d_create_bitmap            [   0.10021] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.10041] added dtor for object 027E72C0, func 0F92259F
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.10051] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.10053] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10127] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10129] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10130] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10131] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10132] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10133] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10134] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10135] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10136] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.10137] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.10138] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.10140] Found a format
d3d      I         d3d_disp.cpp:2289 _al_d3d_create_bitmap            [   0.10141] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.10165] added dtor for object 027E7C10, func 0F92259F
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.10178] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.10180] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10254] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10256] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10257] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10258] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10259] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10260] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10261] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10262] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.10263] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.10264] Alpha doesn't match
